state_name,zone_name,dtp1_2008,n_2008,zero_dose_2008,dtp1_2013,n_2013,zero_dose_2013,dtp1_2018,n_2018,zero_dose_2018,dtp1_2024,n_2024,zero_dose_2024,change_2008_2024,change_2013_2024,change_2018_2024,anc_4plus,delivered_in_hf,pct_c12to23_vax_card_seen,pct_cu5_birth_registered,pct_using_improved_water_source,pct_cu5_slept_under_itn,pct_cu5_diarrhea_treated_ors,pct_problem_accessing_hfdistance,pct_cu5_stunted,pct_women_no_education,pct_lowest_wealth_quintile,pct_severely_food_insecure,total_fertility_rate,pct_urban,pct_muslim,pct_women_with_mobile_phone,pct_media_at_least_once_week,pct_women_curr_employed,pct_women_participate_decision_own_health,pct_women_say_wife_beating_justified,pct_women_moved_current_res_past5yrs
Taraba,North East,51.8,88,48.2,44.1,143,55.9,67.9,134,32.1,59.3,101,40.7,7.5,15.2,-8.6,50.5,33,45,31.1,41.2,57.6,46.6,20,45.6,51.6,2.6,50.5,5.2,35.6,50.1,58.4,21,75.1,90.4,17.2,37
Yobe,North East,19.3,101,80.7,18.8,158,81.2,49.9,221,50.1,59.6,181,40.4,40.3,40.8,9.7,48.5,32.1,65.7,19.4,92.7,83.8,46.6,27.5,54.5,68,0.3,65.9,7.5,44.2,98.7,44.6,17.5,76.9,94.3,52.7,21.4
Benue,North Central,60.5,137,39.5,55.6,187,44.4,76.8,194,23.2,67.3,100,32.7,6.8,11.7,-9.5,49.1,59,46.5,37.8,76.1,68.5,35.5,26,25.3,11.6,23.4,23.5,3.5,31.3,4.1,67.4,47.4,47.6,55.8,27,32
FCT,North Central,87.2,48,12.8,83.9,38,16.1,85.5,41,14.5,93.8,83,6.2,6.6,9.9,8.3,79.9,81.3,58.1,70.6,99.6,63,38.7,9.4,16.3,8,10.5,24.7,3.2,56.7,40.7,89.2,37.7,50.8,32.3,0.6,35.3
Kogi,North Central,78.6,80,21.4,87.1,83,12.9,80.1,80,19.9,43,77,57,-35.6,-44.1,-37.1,54.1,62.2,32.9,27.2,57,66.2,18.9,21.6,34.6,24.7,17.4,25.7,4.9,29.2,59.9,67.4,23.8,56.5,59,9.9,20.3
Kwara,North Central,71.8,68,28.2,73.5,69,26.5,60.8,105,39.2,48.3,81,51.7,-23.5,-25.2,-12.5,51.3,51.5,35,36.6,73,31.5,35.5,23.9,40.8,33.9,0.7,30.5,4,40.3,80.6,81.7,65.4,63.8,94.9,3.9,13.1
Nasarawa,North Central,53.6,54,46.4,60.1,90,39.9,79.4,85,20.6,79.7,114,20.3,26.1,19.6,0.3,66,55.7,62,51.9,71.1,72.4,35.5,18.7,35,34.3,1.2,16.2,4.3,42.9,65.3,70.3,36.8,66.5,94.9,42.6,34.7
Niger,North Central,38.7,142,61.3,52.7,253,47.3,54.7,256,45.3,44,237,56,5.3,-8.7,-10.7,34.7,30.2,38.9,27.3,43.6,64.1,35.5,30.5,43.9,73,0,8.9,4.4,25.8,90.1,56.1,24.8,73.2,80.5,11.1,13.8
Plateau,North Central,79.5,111,20.5,62.4,91,37.6,86.3,104,13.7,64.7,126,35.3,-14.8,2.3,-21.6,46.4,45.7,53.1,27,49.5,57,35.5,60,46.4,20.6,1.5,42,4.4,24.2,37.4,54.7,33.3,74.8,78.8,12.7,30.2
Ekiti,South West,96.2,78,3.8,97.6,33,2.4,96.1,68,3.9,94,21,6,-2.2,-3.6,-2.1,68.6,81.7,68.1,57.9,90,52.3,41.4,29.7,17.1,2.2,42.1,27.9,3.8,67.2,15.4,84.8,61.1,52.3,38.8,15,38.6
Lagos,South West,86.1,263,13.9,90.2,252,9.8,97.3,329,2.7,95.3,177,4.7,9.2,5.1,-2,95.4,85.8,70.9,78.1,98.2,51.7,31,2.9,17.3,3,0,30.7,3.2,98.7,32,88.9,75.3,72.5,76.4,3.5,16.8
Ogun,South West,64.4,122,35.6,77.5,149,22.5,73.4,121,26.6,79.4,141,20.6,15,1.9,6,73.7,83.3,62.6,53.9,96.9,28.7,25.5,27.9,17.7,7.4,1.7,33.1,4.1,81.7,31,81.5,70.4,74.6,81.2,10.8,40.1
Ondo,South West,71.9,92,28.1,70.3,90,29.7,82.1,75,17.9,76.5,44,23.5,4.6,6.2,-5.6,66.3,83.2,61.5,77.6,92,48.8,31,6.6,23.2,4.7,0,22.7,3.1,67.9,7.9,78.6,49.5,74.9,55.7,7.9,37.9
Osun,South West,95.3,82,4.7,92.2,98,7.8,88.9,102,11.1,90.6,64,9.4,-4.7,-1.6,1.7,92,86.7,75.2,81.1,94.8,54.7,31,18.1,30.5,1.4,0.2,22.6,3.3,85.3,48.6,87.6,78.6,76.8,87.4,8.1,37
Oyo,South West,79.4,176,20.6,70.6,201,29.4,83.2,179,16.8,70.1,105,29.9,-9.3,-0.5,-13.1,73.8,75,45,62.2,93.3,61.6,31,15.8,23.1,10,6,23.7,3.3,79,57.6,82.9,59.6,79.3,80.9,7.3,30.4
Abia,South East,74.7,71,25.3,93.4,64,6.6,93.3,69,6.7,95.8,43,4.2,21.1,2.4,2.5,79.1,86,53.3,55.9,79.9,57.6,73.2,39.8,20.2,0.8,0.3,39.7,3.7,46.6,0,82.6,61.7,63.2,84.6,2.3,35.9
Anambra,South East,88.6,158,11.4,85.5,128,14.5,90.1,221,9.9,85.1,64,14.9,-3.5,-0.4,-5,84.9,83.2,48.3,62.9,94.8,53,35.2,31.5,12.9,1,22.8,14.5,3.7,56.5,0.6,81.5,56.6,72.3,51.1,13.7,31.7
Ebonyi,South East,76.9,72,23.1,88.7,137,11.3,95.5,148,4.5,97.4,132,2.6,20.5,8.7,1.9,61.7,79.4,60,43.2,72.6,41.9,35.6,38.2,31.6,7.1,41.4,30.2,4.7,24,0,57.1,33.8,51.6,30.3,32.6,50.4
Enugu,South East,63.8,96,36.2,88.2,122,11.8,93.2,87,6.8,87.2,48,12.8,23.4,-1,-6,61.9,92.6,53.8,80.1,78.2,40.8,34.8,23.7,15.2,8.3,60.1,43.4,3.5,66,0.8,80.7,44.7,46.1,23.3,2.7,44.4
Imo,South East,83.9,109,16.1,91.8,98,8.2,90.8,117,9.2,94.4,84,5.6,10.5,2.6,3.6,84.9,97,63.3,58.2,98.7,31.2,15.8,21.2,17.3,0.5,24.4,23.3,4.4,32.2,0.2,82.5,50.4,62.3,40.7,4.4,35.1
Akwa Ibom,South South,72.4,103,27.6,89.5,102,10.5,86.3,118,13.7,84.9,59,15.1,12.5,-4.6,-1.4,65.7,38.6,52,48,85.9,33.4,64.1,22.4,24.1,0.6,17.6,39.9,3.3,48.1,0,73.2,70.7,67.3,78.1,19.8,35.4
Bayelsa,South South,53.1,54,46.9,79.1,49,20.9,71.5,50,28.5,80.9,34,19.1,27.8,1.8,9.4,48.6,46.1,74.7,49.1,78.3,72.5,59.7,39.2,27.6,4.9,18,32.6,3.8,66.9,0.6,77.7,37.7,54,35,18.2,32.1
Cross River,South South,76.7,102,23.3,86.8,98,13.2,91.9,53,8.1,97.2,43,2.8,20.5,10.4,5.3,80,58.8,74.3,44.3,57,62.2,69.1,6.5,21,3.3,37.9,18.7,3,55.1,0.2,68.6,47.5,25.2,27.1,11.4,32.2
Delta,South South,83.9,102,16.1,73.2,106,26.8,81.1,127,18.9,92.4,115,7.6,8.5,19.2,11.3,60.5,83,65,62.4,89.6,61.9,61.1,20.9,20,3.4,37.2,20.8,3.7,83.1,3.4,81.7,56.2,63.4,62.4,7.7,39.8
Edo,South South,87.9,98,12.1,91.5,89,8.5,93.5,75,6.5,96.3,56,3.7,8.4,4.8,2.8,63,90.9,63.2,62.5,95.6,45,61.1,16.1,13.6,1.6,34.8,15.2,3.3,82.5,8.7,87.7,53,59.7,40.9,21.8,44.9
Rivers,South South,68.9,204,31.1,85.1,148,14.9,85.1,172,14.9,77.3,118,22.7,8.4,-7.8,-7.8,76.5,56.9,57.6,69.2,95.4,57.8,50.6,21.2,12.3,2.4,2.7,33.5,2.9,80,0.8,75.5,64.8,61.1,77.6,5.5,34.8
