state,zone,year,dtp1_coverage,zero_dose_pct,n_children_12_23m,source_table,source_report,data_status
Abia,South East,2013,93.4,6.6,64,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Abia,South East,2018,93.3,6.7,69,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Abia,South East,2024,95.8,4.2,43,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Anambra,South East,2008,88.6,11.4,158,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Anambra,South East,2013,85.5,14.5,128,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Anambra,South East,2018,90.1,9.9,221,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Anambra,South East,2024,85.1,14.9,64,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Ebonyi,South East,2008,76.9,23.1,72,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Ebonyi,South East,2013,88.7,11.3,137,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Ebonyi,South East,2018,95.5,4.5,148,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Ebonyi,South East,2024,97.4,2.6,132,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Enugu,South East,2008,63.8,36.2,96,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Enugu,South East,2013,88.2,11.8,122,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Enugu,South East,2018,93.2,6.8,87,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Enugu,South East,2024,87.2,12.8,48,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Imo,South East,2008,83.9,16.1,109,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Imo,South East,2013,91.8,8.2,98,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Imo,South East,2018,90.8,9.2,117,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Imo,South East,2024,94.4,5.6,84,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Akwa Ibom,South South,2008,72.4,27.6,103,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Akwa Ibom,South South,2013,89.5,10.5,102,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Akwa Ibom,South South,2018,86.3,13.7,118,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Akwa Ibom,South South,2024,84.9,15.1,59,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Bayelsa,South South,2008,53.1,46.9,54,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Bayelsa,South South,2013,79.1,20.9,49,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Bayelsa,South South,2018,71.5,28.5,50,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Bayelsa,South South,2024,80.9,19.1,34,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Cross River,South South,2008,76.7,23.3,102,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Cross River,South South,2013,86.8,13.2,98,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Cross River,South South,2018,91.9,8.1,53,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Cross River,South South,2024,97.2,2.8,43,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Delta,South South,2008,83.9,16.1,102,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Delta,South South,2013,73.2,26.8,106,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Delta,South South,2018,81.1,18.9,127,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Delta,South South,2024,92.4,7.6,115,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Edo,South South,2008,87.9,12.1,98,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Edo,South South,2013,91.5,8.5,89,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Edo,South South,2018,93.5,6.5,75,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Edo,South South,2024,96.3,3.7,56,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Rivers,South South,2008,68.9,31.1,204,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Rivers,South South,2013,85.1,14.9,148,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Rivers,South South,2018,85.1,14.9,172,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Rivers,South South,2024,77.3,22.7,118,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Ekiti,South West,2008,96.2,3.8,78,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Ekiti,South West,2013,97.6,2.4,33,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Ekiti,South West,2018,96.1,3.9,68,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Ekiti,South West,2024,94.0,6.0,21,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Lagos,South West,2008,86.1,13.9,263,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Lagos,South West,2013,90.2,9.8,252,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Lagos,South West,2018,97.3,2.7,329,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Lagos,South West,2024,95.3,4.7,177,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Ogun,South West,2008,64.4,35.6,122,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Ogun,South West,2013,77.5,22.5,149,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Ogun,South West,2018,73.4,26.6,121,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Ogun,South West,2024,79.4,20.6,141,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Ondo,South West,2008,71.9,28.1,92,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Ondo,South West,2013,70.3,29.7,90,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Ondo,South West,2018,82.1,17.9,75,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Ondo,South West,2024,76.5,23.5,44,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Osun,South West,2008,95.3,4.7,82,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Osun,South West,2013,92.2,7.8,98,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Osun,South West,2018,88.9,11.1,102,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Osun,South West,2024,90.6,9.4,64,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Oyo,South West,2008,79.4,20.6,176,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Oyo,South West,2013,70.6,29.4,201,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Oyo,South West,2018,83.2,16.8,179,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Oyo,South West,2024,70.1,29.9,105,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
